Contrast,Expected,correct,first_sound,second_sound,third_sound,fourth_sound,response,response_time,total_correct,experiment_file,subject_nr,Participant,Block,test_sp,Condition,Dialect
NA,q,0,CM6_γάμα,TM2_τάμα,AF1_τάμα,TM1_τάμα,m,657,0,3all_Perc.osexp,1,FF01,0,0,3,0
NA,m,1,AF2_θάμα,TM1_θάμα,CM6_δάμα,AF1_θάμα,m,280,1,3all_Perc.osexp,1,FF01,0,0,3,0
NA,q,1,TM2_τίμα,CF1_χύμα,AM2_τίμα,AM1_τίμα,q,2411,2,3all_Perc.osexp,1,FF01,0,0,3,0
NA,m,1,AM2_κι,TF1_κι,CM3_κι,TF2_γκι,m,531,3,3all_Perc.osexp,1,FF01,0,0,3,0
NA,m,0,TM1_τι,CM6_τι,AF1_τι,TM2_ντι,q,240,3,3all_Perc.osexp,1,FF01,0,0,3,0
NA,q,1,CM3_τάμα,TF1_ντάμα,CM6_τάμα,AM2_τάμα,q,2440,4,3all_Perc.osexp,1,FF01,0,0,3,0
11,q,1,AF1_δίδα,TM1_γίδα,TF2_γίδα,CM6_γίδα,q,705,5,3all_Perc.osexp,1,FF01,1,0,3,0
11,q,1,TF2_γένει,CM6_δένει,AF1_γένει,TM1_γένει,q,403,6,3all_Perc.osexp,1,FF01,1,0,3,0
14,m,1,CM6_χήνα,TF2_χήνα,TM1_χήνα,AF1_κίνα,m,229,7,3all_Perc.osexp,1,FF01,1,0,3,0
12,m,1,TF2_γάμα,TM1_γάμα,AF1_δάμα,CM6_γάμα,m,571,8,3all_Perc.osexp,1,FF01,1,0,3,0
6,m,0,AF1_χάβω,TF2_χάβω,CM6_χάβω,TM1_θάβω,q,602,8,3all_Perc.osexp,1,FF01,1,0,3,0
9,q,1,TF2_ντι,CM6_γκι,AF1_γκι,TM1_γκι,q,64,9,3all_Perc.osexp,1,FF01,1,0,3,0
7,q,1,TM1_ντάμα,AF1_γκάμα,CM6_ντάμα,TF2_ντάμα,q,166,10,3all_Perc.osexp,1,FF01,1,0,3,0
2,q,1,TM1_τάπες,CM6_κάπες,TF2_κάπες,AF1_κάπες,q,250,11,3all_Perc.osexp,1,FF01,1,0,3,0
18,q,0,AF1_γάτα,TF2_γκάτα,TM1_γάτα,CM6_γάτα,m,767,11,3all_Perc.osexp,1,FF01,1,0,3,0
14,q,1,AF1_κύμα,CM6_χύμα,TF2_χύμα,TM1_χύμα,q,295,12,3all_Perc.osexp,1,FF01,1,0,3,0
5,q,1,AF1_χάνει,CM6_χύνει,TM1_χύνει,TF2_χύνει,q,114,13,3all_Perc.osexp,1,FF01,1,0,3,0
17,m,0,CM6_γκέλα,TF2_γκέλα,AF1_γέλα,TM1_γκέλα,q,219,13,3all_Perc.osexp,1,FF01,1,0,3,0
1,m,1,AF1_κήπο,TF2_κήπο,CM6_κήπο,TM1_κόπο,m,314,14,3all_Perc.osexp,1,FF01,1,0,3,0
8,q,1,CM6_γκύζη,TM1_γκάζι,TF2_γκάζι,AF1_γκάζι,q,93,15,3all_Perc.osexp,1,FF01,1,0,3,0
13,q,1,TM1_θέλει,CM6_τέλη,AF1_θέλει,TF2_θέλει,q,177,16,3all_Perc.osexp,1,FF01,1,0,3,0
15,q,1,AF1_κάνω,CM6_χάνω,TM1_χάνω,TF2_χάνω,q,56,17,3all_Perc.osexp,1,FF01,1,0,3,0
4,q,0,TF2_χύμα,CM6_θύμα,TM1_θύμα,AF1_θύμα,m,587,17,3all_Perc.osexp,1,FF01,1,0,3,0
12,q,1,TM1_δούλα,AF1_γούλα,CM6_γούλα,TF2_γούλα,q,187,18,3all_Perc.osexp,1,FF01,1,0,3,0
10,q,1,CM6_γέλα,AF1_γάλα,TF2_γέλα,TM1_γέλα,q,214,19,3all_Perc.osexp,1,FF01,1,0,3,0
17,m,1,CM6_γκέννες,TF2_γκέννες,AF1_γκέννες,TM1_γέννες,m,1057,20,3all_Perc.osexp,1,FF01,1,0,3,0
18,m,1,AF1_γάμα,TM1_γάμα,CM6_γάμα,TF2_γκάμα,m,267,21,3all_Perc.osexp,1,FF01,1,0,3,0
1,m,1,TM1_κάπου,TF2_κάπου,CM6_κήπου,AF1_κάπου,m,123,22,3all_Perc.osexp,1,FF01,1,0,3,0
8,m,1,CM6_γκέμι,AF1_γκέμι,TM1_γκόμι,TF2_γκέμι,m,162,23,3all_Perc.osexp,1,FF01,1,0,3,0
4,m,0,TM1_θύτης,TF2_θύτης,AF1_θύτης,CM6_χύτης,q,647,23,3all_Perc.osexp,1,FF01,1,0,3,0
13,m,1,TM1_τάμα,TF2_τάμα,CM6_θάμα,AF1_τάμα,m,162,24,3all_Perc.osexp,1,FF01,1,0,3,0
5,q,1,AF1_χώμα,CM6_χύμα,TF2_χώμα,TM1_χώμα,q,254,25,3all_Perc.osexp,1,FF01,1,0,3,0
15,m,1,TM1_κώμα,TF2_κώμα,AF1_χώμα,CM6_κώμα,m,276,26,3all_Perc.osexp,1,FF01,1,0,3,0
9,q,1,TF2_ντέφι,AF1_γκέφι,CM6_ντέφι,TM1_ντέφι,q,194,27,3all_Perc.osexp,1,FF01,1,0,3,0
2,m,1,TM1_κάπας,CM6_κάπας,TF2_τάπας,AF1_κάπας,m,491,28,3all_Perc.osexp,1,FF01,1,0,3,0
6,m,1,TF2_θάβει,AF1_θάβει,TM1_χάβει,CM6_θάβει,m,281,29,3all_Perc.osexp,1,FF01,1,0,3,0
16,m,0,TM1_ντύσει,AF1_ντύσει,TF2_ντύσει,CM6_δύσει,q,455,29,3all_Perc.osexp,1,FF01,1,0,3,0
16,q,1,CM6_ντίμη,AF1_δήμη,TM1_ντίμη,TF2_ντίμη,q,542,30,3all_Perc.osexp,1,FF01,1,0,3,0
7,m,0,CM6_γκάλα,TM1_γκάλα,AF1_γκάλα,TF2_ντάλα,q,1092,30,3all_Perc.osexp,1,FF01,1,0,3,0
3,m,1,TF2_κέντα,TM1_κέντα,CM6_τέντα,AF1_κέντα,m,123,31,3all_Perc.osexp,1,FF01,1,0,3,0
10,q,1,TM1_γόνος,AF1_γένος,TF2_γόνος,CM6_γόνος,q,223,32,3all_Perc.osexp,1,FF01,1,0,3,0
3,m,1,CM6_τι,TM1_τι,TF2_τι,AF1_κι,m,396,33,3all_Perc.osexp,1,FF01,1,0,3,0
14,q,1,CF2_κύμα,AM1_χύμα,CM3_χύμα,TF1_χύμα,q,215,34,3all_Perc.osexp,1,FF01,2,0,3,0
12,q,1,TF1_δούλα,CF2_γούλα,AM1_γούλα,CM3_γούλα,q,257,35,3all_Perc.osexp,1,FF01,2,0,3,0
15,m,1,CM3_κώμα,CF2_κώμα,AM1_χώμα,TF1_κώμα,m,113,36,3all_Perc.osexp,1,FF01,2,0,3,0
8,m,1,AM1_γκέμι,CM3_γκέμι,CF2_γκόμι,TF1_γκέμι,m,703,37,3all_Perc.osexp,1,FF01,2,0,3,0
